algae,rotifers,time
2.3e8,7830.0,0
3.737976460311595e8,6548.577371276816,1
7.504764930285165e8,9250.536813126795,2
8.361962693632863e8,18153.066147584188,3
5.799678857087257e8,31807.24644823865,4
2.98987435869054e8,36302.74987344127,5
2.2117087489694157e8,28506.94825373344,6
2.9892056473689276e8,22728.68081575488,7
4.3230199332968354e8,23465.57140633978,8
4.4626331165538704e8,28339.499448998642,9
3.5390180276293737e8,31278.32701729671,10
2.966682054231044e8,29222.77525984768,11
3.160472004395156e8,26269.784309631716,12
3.70246887416609e8,25846.279271161315,13
3.899174314115551e8,27618.745712325745,14
3.606558327259224e8,29106.219171870303,15
3.312517659680471e8,28687.426741328654,16
3.327540341323459e8,27426.723534627778,17
3.540995127186038e8,26976.452440565423,18
3.662369421572376e8,27570.69380712667,19
3.579752257608215e8,28261.131025808667,20
3.447283925005058e8,28257.935190158587,21
3.4249971283276945e8,27760.282737385223,22
3.5043782341687155e8,27478.950076213252,23
3.568416771948714e8,27651.587621022863,24
3.549479962183174e8,27961.907816486117,25
3.4927113222890466e8,28017.721716826993,26
3.472707524015972e8,27836.227327237993,27
3.5014403231112653e8,27682.45555340426,28
3.532253313771916e8,27729.283237266194,29
3.531023701290026e8,27859.413149056592,30
3.5061856833533365e8,27908.969176587798,31
3.4937490064249533e8,27841.323635747223,32
