algae,rotifers,time
4.6e8,42740.0,0
2.5347679649459627e8,2.6719829201514678e-20,1
2.7607633503354067e8,-8.777231413484118e-21,2
2.9862437782141775e8,5.579205160262138e-21,3
3.208497165951322e8,-5.604897668948719e-19,4
3.423931444538179e8,2.9979526028903585e-18,5
3.630585403675827e8,-5.6883423962320394e-18,6
3.8263167920941466e8,-4.5333382599267234e-18,7
4.0092823652001774e8,-1.3196324472078551e-17,8
4.1783091904987985e8,7.459608330742947e-18,9
4.3332361283864707e8,-1.6825267351955887e-17,10
4.473507356021148e8,2.2565617948257824e-18,11
4.599659835781203e8,-6.310957772622555e-18,12
4.7125457842421496e8,-9.004581603052624e-18,13
4.812163903993614e8,3.428674761589129e-18,14
4.899700689548716e8,-2.910147009768003e-18,15
4.9769148059900165e8,-3.621669180961359e-18,16
5.043776198452047e8,8.250559465567409e-19,17
5.1014789086231214e8,-5.257719081315703e-19,18
5.1521692876680166e8,-9.608793030898285e-19,19
5.195847335586733e8,-4.802662383180329e-19,20
5.232520987676516e8,3.931157417098706e-20,21
5.2643211816995126e8,-1.1338841700380924e-19,22
5.2920121713022894e8,-1.5239337953433968e-19,23
5.315593956484847e8,-7.77033134206046e-20,24
5.3350416010034436e8,5.234772950096758e-21,25
5.351767572916581e8,-8.798693817350317e-21,26
5.366358037862582e8,-1.4230727818483928e-20,27
5.378812995841448e8,-1.1061329053304072e-20,28
