Infected,time
1721.7151852625793,0
1799.682173612684,1
1881.1706270105005,2
1966.339073454039,3
2055.3541110414917,4
2148.3889913426538,5
2245.617170103411,6
2347.2311316708146,7
2453.434016702562,8
2564.428965856361,9
2680.4231687007996,10
2801.647934843015,11
2928.3187414009008,12
3060.694462185951,13
3199.0410993989935,14
3343.6246552411103,15
3494.7111319131727,16
3652.5763654491966,17
3817.5554735945625,18
3989.907177833942,19
4169.984552564623,20
4358.160241893347,21
4554.80688992684,22
4760.297140771698,23
4975.003638534792,24
5199.299027322835,25
5433.585063247519,26
5678.4146002833295,27
5934.103402502718,28
6201.168749875636,29
6480.170150646882,30
6771.667113061005,31
7076.219145363037,32
7394.385755797499,33
7726.726452608564,34
8073.800744042179,35
8436.168138341221,36
8814.56586081197,37
9209.860397627082,38
9622.453104169603,39
10053.209990424191,40
10503.017171141604,41
10972.760761072801,42
11463.32687496749,43
11975.601627577562,44
12510.471133652725,45
13068.821507943154,46
13651.538865201,47
14259.50932017644,48
14893.642393806891,49
15555.690621224698,50
16246.442125783593,51
16966.890902356303,52
17718.4707799764,53
18502.615587677807,54
19320.75915449421,55
20174.33530945878,56
21064.777881607122,57
21993.52069997083,58
22961.99759358575,59
23971.642391484347,60
25023.888922698796,61
26120.171016266686,62
27261.922501219902,63
28451.302705140435,64
29690.850185867166,65
30981.892599256593,66
32326.582457634155,67
33727.08263255691,68
35185.55599558179,69
36704.1654182662,70
38285.07377216697,71
39930.443928843946,72
41642.43875985162,73
43423.22113674402,74
45274.95393109019,75
47199.80001443438,76
49199.922258332605,77
51277.4835343617,78
53434.64671405754,79
55672.58094096766,80
57995.15316134598,81
60408.38962570578,82
62914.48682805011,83
65515.572869556956,84
68213.77585140732,85
71011.22387478687,86
73910.0450408666,87
76912.36745083262,88
80020.31920587015,89
83236.02840714436,90
86561.62315585627,91
89999.23155316268,92
93550.98170027323,93
97219.00169832725,94
101005.41964855464,95
104912.36365209473,96
108941.96181015391,97
113081.88925255463,98
117337.61082947394,99
121733.33228479978,100
126266.35393719515,101
130933.82573657949,102
135732.89763287362,103
140660.71957598766,104
145714.44151585223,105
150891.21340237,106
156188.18518548133,107
161602.5068150768,108
167131.32824110147,109
172771.79941345192,110
178521.0702820653,111
184376.29079684895,112
190334.61090772133,113
196393.18056460656,114
202549.14971742034,115
208799.66831606627,116
215141.88631048612,117
221566.55421417113,118
228044.9277708521,119
234579.16369836964,120
241160.9924184233,121
