MAE,TS,EXP
0.5270159335095672,1,covid
0.5866838134045212,1,covid
0.589405246206036,1,covid
0.558526762559263,1,covid
0.5255431604837351,1,covid
0.5853155092567393,1,covid
0.6048247892134967,1,covid
0.5582184298910745,1,covid
0.524751018543846,1,covid
0.5877879657657727,1,covid
0.6060167045181593,1,covid
0.559100863617303,1,covid
0.5252241178323899,1,covid
0.5850606567324571,1,covid
0.5905162403089708,1,covid
0.5581014169154882,1,covid
0.6087678103023241,10,covid
0.45724150970432154,10,covid
0.3791979824932315,10,covid
0.3528982193720218,10,covid
0.6107979008165,10,covid
0.48557707145450857,10,covid
0.3941805414647973,10,covid
0.4285687879827475,10,covid
0.5985453044245653,10,covid
0.49199643745016297,10,covid
0.40772946467145654,10,covid
0.44759594747948067,10,covid
0.5908536379477364,10,covid
0.4899883534290654,10,covid
0.429015470088081,10,covid
0.38836105856481207,10,covid
0.5641840513169322,100,covid
0.19993402293763643,100,covid
0.2899087510265665,100,covid
0.2904736356626188,100,covid
0.45429977984209546,100,covid
0.21978179429039707,100,covid
0.25698126326018333,100,covid
0.2309933531859907,100,covid
0.3565926145782402,100,covid
0.19527313140775057,100,covid
0.2407167563503025,100,covid
0.2060977649313945,100,covid
0.35091640136173374,100,covid
0.2110422411553601,100,covid
0.23267657668867103,100,covid
0.202106245853692,100,covid
0.4579169211893526,1000,covid
0.30978469249789126,1000,covid
0.28937237927726894,1000,covid
0.2519129395176341,1000,covid
0.36434045439343715,1000,covid
0.15052564075151592,1000,covid
0.20207668860375888,1000,covid
0.23812008474671623,1000,covid
0.38150582931325905,1000,covid
0.11376915808180062,1000,covid
0.10309407437508128,1000,covid
0.1158395195945327,1000,covid
0.377754482646118,1000,covid
0.09660511801981422,1000,covid
0.09033482274086069,1000,covid
0.07909723838131051,1000,covid
1.180848216700906,1,coh._rotifers_algae
1.2149008622158128,1,coh._rotifers_algae
1.2453162372152198,1,coh._rotifers_algae
1.2861074254191465,1,coh._rotifers_algae
1.183908605674559,1,coh._rotifers_algae
1.2179935328079823,1,coh._rotifers_algae
1.2457887400139358,1,coh._rotifers_algae
1.2877705944233238,1,coh._rotifers_algae
1.1812728677686315,1,coh._rotifers_algae
1.2169216133647787,1,coh._rotifers_algae
1.239779216912801,1,coh._rotifers_algae
1.2915396494342752,1,coh._rotifers_algae
1.1849049542968089,1,coh._rotifers_algae
1.2259383226936846,1,coh._rotifers_algae
1.227585437959854,1,coh._rotifers_algae
1.2919655632951277,1,coh._rotifers_algae
1.266493251970622,10,coh._rotifers_algae
0.9627478256207549,10,coh._rotifers_algae
0.9009029123985548,10,coh._rotifers_algae
0.8809368788778688,10,coh._rotifers_algae
1.2642683799269228,10,coh._rotifers_algae
0.960990865618602,10,coh._rotifers_algae
0.8927200731322116,10,coh._rotifers_algae
0.8800757669953112,10,coh._rotifers_algae
1.263726570839793,10,coh._rotifers_algae
0.9641708081977053,10,coh._rotifers_algae
0.9026328784642832,10,coh._rotifers_algae
0.8785358774025318,10,coh._rotifers_algae
1.262992493096532,10,coh._rotifers_algae
0.9586977504570748,10,coh._rotifers_algae
0.8993537737656142,10,coh._rotifers_algae
0.8779725754595051,10,coh._rotifers_algae
1.3151870639275431,100,coh._rotifers_algae
0.7778466143146832,100,coh._rotifers_algae
0.7778611908706505,100,coh._rotifers_algae
0.7697898258825747,100,coh._rotifers_algae
1.31181820068051,100,coh._rotifers_algae
0.7749748945349073,100,coh._rotifers_algae
0.7817243605346976,100,coh._rotifers_algae
0.7655405155456109,100,coh._rotifers_algae
1.3048074434255175,100,coh._rotifers_algae
0.7773198291658223,100,coh._rotifers_algae
