TS,IC,KP,MAE
1.0,0.0,0.0,13.029910649363199
1.0,0.0,1.0,13.174687470753986
1.0,0.0,2.0,13.475677764383951
1.0,0.0,3.0,14.166820989481607
1.0,1.0,0.0,13.06621807149251
1.0,1.0,1.0,13.171659883626301
1.0,1.0,2.0,13.565368437449138
1.0,1.0,3.0,14.17595850321452
1.0,2.0,0.0,13.052344774119058
1.0,2.0,1.0,13.200932706705732
1.0,2.0,2.0,13.579015586853028
1.0,2.0,3.0,14.211022579956056
1.0,3.0,0.0,13.073678335062663
1.0,3.0,1.0,13.173111912536621
1.0,3.0,2.0,13.678844423675537
1.0,3.0,3.0,14.23381563212077
10.0,0.0,0.0,13.363705702463784
10.0,0.0,1.0,13.808355538686119
10.0,0.0,2.0,14.174580704498291
10.0,0.0,3.0,14.470325455474853
10.0,1.0,0.0,13.361608375549318
10.0,1.0,1.0,13.868894440714518
10.0,1.0,2.0,14.262992405446372
10.0,1.0,3.0,14.47544931869507
10.0,2.0,0.0,13.371144940694174
10.0,2.0,1.0,13.825856759389243
10.0,2.0,2.0,14.189604779052734
10.0,2.0,3.0,14.467192495473228
10.0,3.0,0.0,13.379041404469808
10.0,3.0,1.0,13.820528466288248
10.0,3.0,2.0,14.209063882954917
10.0,3.0,3.0,14.47054920654297
100.0,0.0,0.0,13.329737781524656
100.0,0.0,1.0,17.47173187573751
100.0,0.0,2.0,18.00785319035848
100.0,0.0,3.0,18.38505023320516
100.0,1.0,0.0,13.31350776646932
100.0,1.0,1.0,17.67293756586711
100.0,1.0,2.0,18.049377140553794
100.0,1.0,3.0,18.361225121561688
100.0,2.0,0.0,13.32874671045939
100.0,2.0,1.0,17.60932042948405
100.0,2.0,2.0,18.16414593633016
100.0,2.0,3.0,18.38007908732096
100.0,3.0,0.0,13.325575374603272
100.0,3.0,1.0,17.640354424794516
100.0,3.0,2.0,18.112011944325765
100.0,3.0,3.0,18.41181446431478
1000.0,0.0,0.0,13.230425075531006
1000.0,0.0,1.0,18.346982379404704
1000.0,0.0,2.0,19.097865378316243
1000.0,0.0,3.0,20.31314766489665
1000.0,1.0,0.0,13.338609184265135
1000.0,1.0,1.0,18.159723684946695
1000.0,1.0,2.0,19.26011387507121
1000.0,1.0,3.0,20.34070804163615
1000.0,2.0,0.0,13.275313400268555
1000.0,2.0,1.0,18.30369277470907
1000.0,2.0,2.0,19.94017104034424
1000.0,2.0,3.0,20.341249855804442
1000.0,3.0,0.0,13.256634276580812
1000.0,3.0,1.0,18.221575595347087
1000.0,3.0,2.0,19.784096293131512
1000.0,3.0,3.0,20.5425785580953
