TS,IC,KP,MAE
1.0,0.0,0.0,15.738454363295611
1.0,0.0,1.0,15.790277946674124
1.0,0.0,2.0,15.44163680861978
1.0,0.0,3.0,15.876557832987169
1.0,1.0,0.0,15.668559482911055
1.0,1.0,1.0,15.431020147211413
1.0,1.0,2.0,15.531078845214846
1.0,1.0,3.0,16.05514633124856
1.0,2.0,0.0,15.951168655148678
1.0,2.0,1.0,15.979342237494972
1.0,2.0,2.0,15.60974218530094
1.0,2.0,3.0,15.588065457108442
1.0,3.0,0.0,15.731209967332727
1.0,3.0,1.0,16.184127495664708
1.0,3.0,2.0,15.653604658620498
1.0,3.0,3.0,15.507247086940092
10.0,0.0,0.0,18.66844809617435
10.0,0.0,1.0,18.944060506237257
10.0,0.0,2.0,17.511893258689433
10.0,0.0,3.0,17.876249445141063
10.0,1.0,0.0,15.860867077726477
10.0,1.0,1.0,17.395707068185246
10.0,1.0,2.0,17.687127252219703
10.0,1.0,3.0,18.091657021488864
10.0,2.0,0.0,15.43119949729022
10.0,2.0,1.0,16.997430226494284
10.0,2.0,2.0,17.348697106372608
10.0,2.0,3.0,17.493542563090607
10.0,3.0,0.0,15.308139078701242
10.0,3.0,1.0,16.93152389755249
10.0,3.0,2.0,16.6961962742525
10.0,3.0,3.0,17.560816923792224
100.0,0.0,0.0,20.160663433680817
100.0,0.0,1.0,18.25323199826409
100.0,0.0,2.0,18.674916287859748
100.0,0.0,3.0,17.612255732502653
100.0,1.0,0.0,17.125404173592962
100.0,1.0,1.0,17.04146278307298
100.0,1.0,2.0,17.75933251178966
100.0,1.0,3.0,18.371636212090884
100.0,2.0,0.0,16.63782616153044
100.0,2.0,1.0,17.214706001102222
100.0,2.0,2.0,17.333245053033266
100.0,2.0,3.0,19.446885981211942
100.0,3.0,0.0,16.922247759336585
100.0,3.0,1.0,17.05262009194318
100.0,3.0,2.0,17.099497706918154
100.0,3.0,3.0,17.76711066097933
1000.0,0.0,0.0,20.716045281847784
1000.0,0.0,1.0,18.136464070017198
1000.0,0.0,2.0,18.738440597982965
1000.0,0.0,3.0,21.40270303035063
1000.0,1.0,0.0,14.869676664823647
1000.0,1.0,1.0,18.511945287614708
1000.0,1.0,2.0,19.17843100381739
1000.0,1.0,3.0,21.536438863866472
1000.0,2.0,0.0,15.921636864965103
1000.0,2.0,1.0,18.94979591962029
1000.0,2.0,2.0,19.538376309204104
1000.0,2.0,3.0,21.969843379637773
1000.0,3.0,0.0,16.05151193495358
1000.0,3.0,1.0,17.647723543974934
1000.0,3.0,2.0,20.322666646261776
1000.0,3.0,3.0,21.69608824234009
