TS,IC,KP,MAE
1.0,0.0,0.0,15.159614859580994
1.0,0.0,1.0,15.596779419475132
1.0,0.0,2.0,15.987249053319294
1.0,0.0,3.0,16.510922370592755
1.0,1.0,0.0,15.19890383635627
1.0,1.0,1.0,15.63648282453749
1.0,1.0,2.0,15.99331499841478
1.0,1.0,3.0,16.532273972935148
1.0,2.0,0.0,15.16506648879581
1.0,2.0,1.0,15.622721626705594
1.0,2.0,2.0,15.916165323787265
1.0,2.0,3.0,16.580660735554165
1.0,3.0,0.0,15.211694863319398
1.0,3.0,1.0,15.73847726641761
1.0,3.0,2.0,15.759622772428724
1.0,3.0,3.0,16.58612857638465
10.0,0.0,0.0,16.259117514504325
10.0,0.0,1.0,12.359663195398118
10.0,0.0,2.0,11.565704198625351
10.0,0.0,3.0,11.309382197062174
10.0,1.0,0.0,16.230554823027717
10.0,1.0,1.0,12.337107513321772
10.0,1.0,2.0,11.46065370188819
10.0,1.0,3.0,11.298327326244777
10.0,2.0,0.0,16.22359913052453
10.0,2.0,1.0,12.377931307686698
10.0,2.0,2.0,11.587913335164387
10.0,2.0,3.0,11.278558373027376
10.0,3.0,0.0,16.214175111664666
10.0,3.0,1.0,12.307668723318312
10.0,3.0,2.0,11.54581650712755
10.0,3.0,3.0,11.271326757325067
100.0,0.0,0.0,16.88424394893646
100.0,0.0,1.0,9.985919380717807
100.0,0.0,2.0,9.98610651312934
100.0,0.0,3.0,9.88248711236318
100.0,1.0,0.0,16.84099480936262
100.0,1.0,1.0,9.949052520751952
100.0,1.0,2.0,10.035701510535347
100.0,1.0,3.0,9.827934878455268
100.0,2.0,0.0,16.750991387791107
100.0,2.0,1.0,9.979156564076742
100.0,2.0,2.0,9.967391904724968
100.0,2.0,3.0,10.079143111017016
100.0,3.0,0.0,16.753850271754793
100.0,3.0,1.0,9.846156599150763
100.0,3.0,2.0,10.024318408966064
100.0,3.0,3.0,9.952899543550279
1000.0,0.0,0.0,16.659607324176363
1000.0,0.0,1.0,12.538906010733712
1000.0,0.0,2.0,12.64251776324378
1000.0,0.0,3.0,13.261418555683559
1000.0,1.0,0.0,16.822582751803928
1000.0,1.0,1.0,12.54729645506541
1000.0,1.0,2.0,12.719333076477051
1000.0,1.0,3.0,13.081616972499424
1000.0,2.0,0.0,16.756691217104596
1000.0,2.0,1.0,12.571336787647672
1000.0,2.0,2.0,13.29758951642778
1000.0,2.0,3.0,13.248836014323762
1000.0,3.0,0.0,16.64956273735894
1000.0,3.0,1.0,12.66379396194882
1000.0,3.0,2.0,13.23448031224145
1000.0,3.0,3.0,13.389822837299771
