Day,Infected
2020-01-01,18.0
2020-01-02,17.0
2020-01-03,20.0
2020-01-04,23.0
2020-01-05,22.0
2020-01-06,12.0
2020-01-07,11.0
2020-01-08,7.0
2020-01-09,8.0
2020-01-10,3.0
2020-01-11,8.0
2020-01-12,9.0
2020-01-13,8.0
2020-01-14,6.0
2020-01-15,7.0
2020-01-16,9.0
2020-01-17,7.0
2020-01-18,3.0
2020-01-19,9.0
2020-01-20,16.0
2020-01-21,5.0
2020-01-22,11.0
2020-01-23,6.0
2020-01-24,9.0
2020-01-25,6.0
2020-01-26,6.0
2020-01-27,14.0
2020-01-28,10.0
2020-01-29,13.0
2020-01-30,14.0
2020-01-31,14.0
2020-02-01,11.0
2020-02-02,14.0
2020-02-03,6.0
2020-02-04,5.0
2020-02-05,7.0
2020-02-06,2.0
2020-02-07,5.0
2020-02-08,3.0
2020-02-09,7.0
2020-02-10,16.0
2020-02-11,12.0
2020-02-12,7.0
2020-02-13,4.0
2020-02-14,9.0
2020-02-15,18.0
2020-02-16,14.0
2020-02-17,13.0
2020-02-18,18.0
2020-02-19,13.0
2020-02-20,33.0
2020-02-21,19.0
2020-02-22,29.0
2020-02-23,44.0
2020-02-24,70.0
2020-02-25,109.0
2020-02-26,163.0
2020-02-27,161.0
2020-02-28,223.0
2020-02-29,191.0
2020-03-01,235.0
2020-03-02,301.0
2020-03-03,309.0
2020-03-04,418.0
2020-03-05,456.0
2020-03-06,681.0
2020-03-07,818.0
2020-03-08,1111.0
2020-03-09,1780.0
2020-03-10,2263.0
2020-03-11,2829.0
2020-03-12,3159.0
2020-03-13,3920.0
2020-03-14,3899.0
2020-03-15,4052.0
2020-03-16,5487.0
2020-03-17,4934.0
2020-03-18,5154.0
2020-03-19,4598.0
2020-03-20,5208.0
2020-03-21,4233.0
2020-03-22,3419.0
2020-03-23,4971.0
2020-03-24,4045.0
2020-03-25,4562.0
2020-03-26,4265.0
2020-03-27,4439.0
2020-03-28,3947.0
2020-03-29,3034.0
2020-03-30,4367.0
2020-03-31,3963.0
2020-04-01,4450.0
2020-04-02,4238.0
2020-04-03,4366.0
2020-04-04,3260.0
2020-04-05,2644.0
2020-04-06,3503.0
2020-04-07,3450.0
2020-04-08,3443.0
2020-04-09,3277.0
2020-04-10,2571.0
2020-04-11,2328.0
2020-04-12,1908.0
2020-04-13,1785.0
2020-04-14,2066.0
2020-04-15,2233.0
2020-04-16,2148.0
2020-04-17,2183.0
2020-04-18,1654.0
2020-04-19,1297.0
2020-04-20,1621.0
2020-04-21,1512.0
2020-04-22,1707.0
2020-04-23,1576.0
2020-04-24,1458.0
2020-04-25,1126.0
2020-04-26,798.0
2020-04-27,1173.0
2020-04-28,1073.0
2020-04-29,1088.0
2020-04-30,1135.0
2020-05-01,867.0
2020-05-02,690.0
2020-05-03,599.0
2020-05-04,829.0
2020-05-05,894.0
2020-05-06,921.0
2020-05-07,844.0
2020-05-08,800.0
2020-05-09,607.0
2020-05-10,446.0
2020-05-11,684.0
2020-05-12,641.0
2020-05-13,707.0
2020-05-14,628.0
2020-05-15,735.0
2020-05-16,509.0
2020-05-17,394.0
2020-05-18,627.0
2020-05-19,531.0
2020-05-20,705.0
2020-05-21,407.0
2020-05-22,438.0
2020-05-23,352.0
2020-05-24,293.0
2020-05-25,453.0
2020-05-26,565.0
2020-05-27,533.0
2020-05-28,436.0
2020-05-29,381.0
2020-05-30,349.0
2020-05-31,216.0
2020-06-01,239.0
2020-06-02,342.0
2020-06-03,465.0
2020-06-04,440.0
2020-06-05,381.0
2020-06-06,278.0
2020-06-07,184.0
2020-06-08,373.0
2020-06-09,406.0
2020-06-10,492.0
2020-06-11,305.0
2020-06-12,374.0
2020-06-13,344.0
2020-06-14,259.0
2020-06-15,407.0
2020-06-16,851.0
2020-06-17,685.0
2020-06-18,640.0
2020-06-19,809.0
2020-06-20,499.0
2020-06-21,318.0
2020-06-22,490.0
2020-06-23,498.0
2020-06-24,483.0
2020-06-25,487.0
2020-06-26,497.0
2020-06-27,328.0
2020-06-28,269.0
2020-06-29,458.0
2020-06-30,449.0
2020-07-01,439.0
2020-07-02,406.0
2020-07-03,411.0
2020-07-04,292.0
2020-07-05,246.0
2020-07-06,377.0
2020-07-07,387.0
2020-07-08,396.0
2020-07-09,381.0
2020-07-10,454.0
2020-07-11,352.0
2020-07-12,236.0
2020-07-13,477.0
2020-07-14,473.0
2020-07-15,584.0
2020-07-16,493.0
2020-07-17,529.0
2020-07-18,503.0
2020-07-19,389.0
2020-07-20,615.0
2020-07-21,603.0
2020-07-22,685.0
2020-07-23,632.0
2020-07-24,742.0
2020-07-25,592.0
2020-07-26,462.0
2020-07-27,692.0
2020-07-28,733.0
2020-07-29,779.0
2020-07-30,755.0
2020-07-31,848.0
2020-08-01,694.0
2020-08-02,562.0
2020-08-03,915.0
2020-08-04,944.0
2020-08-05,1002.0
2020-08-06,1068.0
2020-08-07,1049.0
2020-08-08,833.0
2020-08-09,617.0
2020-08-10,1263.0
2020-08-11,1230.0
2020-08-12,1458.0
2020-08-13,1409.0
2020-08-14,1342.0
2020-08-15,960.0
2020-08-16,802.0
2020-08-17,1564.0
2020-08-18,1518.0
2020-08-19,1559.0
2020-08-20,1382.0
2020-08-21,1505.0
2020-08-22,1057.0
2020-08-23,846.0
2020-08-24,1503.0
2020-08-25,1553.0
2020-08-26,1476.0
2020-08-27,1414.0
2020-08-28,1307.0
2020-08-29,899.0
2020-08-30,776.0
2020-08-31,1291.0
2020-09-01,1460.0
2020-09-02,1351.0
2020-09-03,1388.0
2020-09-04,1517.0
2020-09-05,1166.0
2020-09-06,990.0
2020-09-07,1676.0
2020-09-08,1652.0
2020-09-09,1718.0
2020-09-10,1675.0
2020-09-11,1679.0
2020-09-12,1438.0
2020-09-13,1207.0
2020-09-14,1975.0
2020-09-15,1974.0
2020-09-16,2069.0
2020-09-17,1969.0
2020-09-18,1943.0
2020-09-19,1469.0
2020-09-20,1213.0
2020-09-21,2072.0
2020-09-22,2038.0
2020-09-23,2125.0
2020-09-24,2144.0
2020-09-25,2246.0
2020-09-26,1874.0
2020-09-27,1474.0
2020-09-28,2461.0
2020-09-29,2551.0
2020-09-30,2716.0
2020-10-01,2964.0
2020-10-02,3334.0
2020-10-03,2936.0
2020-10-04,2323.0
2020-10-05,3882.0
2020-10-06,4160.0
2020-10-07,4582.0
2020-10-08,4811.0
2020-10-09,5301.0
2020-10-10,4686.0
2020-10-11,3929.0
2020-10-12,6249.0
2020-10-13,6753.0
2020-10-14,7860.0
2020-10-15,8096.0
2020-10-16,8919.0
2020-10-17,7568.0
2020-10-18,7003.0
2020-10-19,10712.0
2020-10-20,12248.0
2020-10-21,14004.0
2020-10-22,14170.0
2020-10-23,15131.0
2020-10-24,12950.0
2020-10-25,11355.0
2020-10-26,16386.0
2020-10-27,17177.0
2020-10-28,18687.0
2020-10-29,17816.0
2020-10-30,18520.0
2020-10-31,14500.0
2020-11-01,13539.0
2020-11-02,19420.0
2020-11-03,19145.0
2020-11-04,19468.0
2020-11-05,19136.0
2020-11-06,19216.0
2020-11-07,15771.0
2020-11-08,12369.0
2020-11-09,18847.0
2020-11-10,19138.0
2020-11-11,20370.0
2020-11-12,20239.0
2020-11-13,20277.0
2020-11-14,15790.0
2020-11-15,12144.0
2020-11-16,18595.0
2020-11-17,19311.0
2020-11-18,20734.0
2020-11-19,20371.0
2020-11-20,20054.0
2020-11-21,14454.0
2020-11-22,11438.0
2020-11-23,17873.0
2020-11-24,18128.0
2020-11-25,19664.0
2020-11-26,19454.0
2020-11-27,19079.0
2020-11-28,15648.0
2020-11-29,11699.0
2020-11-30,18129.0
2020-12-01,19782.0
2020-12-02,21457.0
2020-12-03,23111.0
2020-12-04,22501.0
2020-12-05,18300.0
2020-12-06,15172.0
2020-12-07,22544.0
2020-12-08,24370.0
2020-12-09,25777.0
2020-12-10,26896.0
2020-12-11,26194.0
2020-12-12,22081.0
2020-12-13,16967.0
2020-12-14,24880.0
2020-12-15,26149.0
2020-12-16,28154.0
2020-12-17,27655.0
2020-12-18,26884.0
2020-12-19,21013.0
2020-12-20,17184.0
2020-12-21,22644.0
2020-12-22,24459.0
