Suspectible,Infected,Recovered
84400000.0,19.2,0.0
84399990.86759569,9.132404321632212,2.6728995786385816
84399978.66145413,12.20614157151325,6.245430278976664
84399962.34959856,16.311855556192896,11.01963466387317
84399940.54823972,21.801358831708825,17.40052530658771
84399911.41154811,29.136691614081485,25.928346920818065
84399872.47181046,38.93973764011357,37.32536051454803
84399820.3996589,52.072151548673794,52.56602169519888
84399750.81860285,69.58105606365956,72.93126550605355
84399657.8029889,93.01561393675347,100.15544998219076
84399533.49834895,124.30463995760275,136.5374798521461
84399367.39204285,166.1063061058002,185.1542890020598
84399145.32668264,222.06536020078525,250.14962034264684
84398848.53748044,296.7892022073404,337.01581324264674
84398451.93961518,396.59786525179976,453.0951305037078
84397921.67046641,530.2691487686234,608.2992565296333
84397213.07005307,708.6004133440385,815.7005760087477
84396266.19219132,946.8778617353782,1092.8463893404712
84395000.17540962,1266.0167817152171,1463.407329946717
84393308.63949034,1691.5359192769422,1958.525678940968
84391048.03775452,2260.601735788975,2620.22704065924
84388025.72424152,3022.3135130092655,3504.9175965992117
84383988.16677037,4037.5574711510435,4686.839286376239
84378592.02485247,5396.141917875021,6266.5506610064
84371379.08189145,7212.942961029941,8378.288622682916
84361744.65147713,9634.430414299544,11199.24703392689
84348869.21946694,12875.432010207953,14969.67787244081
84331665.79421052,17203.42525640143,20008.42843001216
84308693.33538987,22972.45882066175,26738.47765877162
84278003.46683057,30689.86855931137,35732.339537486754
84237030.00298914,40973.46384141712,47745.034481560855
84182353.91393504,54676.089054121956,63784.16259155159
84109383.82376508,72970.09016995311,85206.37911747023
84012120.70361343,97263.1201516607,113789.408690781
83882556.70215417,129564.00145923941,151916.228085442
83710090.24004088,172466.46211327516,202761.4724872023
83480996.44785087,229093.7921900185,270462.84314494336
83177147.4090574,303849.0387934862,360544.19368211215
82775134.43651518,402012.9725422013,480246.6075701678
82245302.33789869,529832.0986164932,638891.8339365928
81549807.16350478,695495.1743939079,848719.3445039219
80642431.38429609,907375.7792086918,1125200.0293005605
79467375.90156755,1175055.482728537,1487877.4607585191
77960720.7628208,1506655.1387467564,1960954.5217738776
76052542.80826603,1908177.9545547632,2573329.376454609
73673339.06279056,2379203.74547548,3358783.354837972
70765342.88631032,2907996.176480247,4354221.834283273
67289764.93542722,3475577.950883096,5598608.999556324
63252824.98641022,4036939.9490170004,7127358.588647846
58705274.97630129,4547550.010108931,8969998.019425824
53761325.63160716,4943949.344694136,11142537.11698659
48578521.73371164,5182803.897895513,13643763.12631872
43352258.32424163,5226263.409470018,16453375.712964045
38268617.00733832,5083641.316903302,19530461.445263278
33495772.115500685,4772844.891837634,22819082.954168346
29148088.11115488,4347684.004345804,26252213.367701743
25290617.100256227,3857471.0108986497,29761618.70774401
21935727.101142976,3354889.9991132542,33279776.975388348
19064752.649493188,2870974.4516497925,36750820.93205664
16631481.28164431,2433271.367848873,40126766.50536346
14585980.319360953,2045500.962283358,43370960.08219141
12871124.76067131,1714855.5586896464,46463415.43831829
11437898.321325056,1433226.4393462464,49382313.93534732
10243451.291082157,1194447.0302428901,52120791.41823344
9241682.21360104,1001769.0774811357,54672283.632376455
8400609.353385387,841072.8602156639,57038704.54845189
7693552.636046891,707056.71733848,59224861.69979134
7093443.28942772,600109.3466191739,61235308.29913397
6585809.097168283,507634.1922594309,63081362.35882565
6151437.801452666,434371.2957156226,64771558.9675917
5780110.447735038,371327.3537176326,66316160.899747096
5460933.54849065,319176.8992443755,67725292.0151386
5184983.051153422,275950.4973372221,69008689.4093119
4946668.566968401,238314.4841850251,70176022.10134725
4739015.415202169,207653.1517662555,71236775.28062263
4558467.15220396,180548.2629981786,72199334.60444783
4400465.515581375,158001.6366225928,73072389.13737167
4262027.475755493,138438.0398258865,73863413.11499938
4140519.2513232566,121508.2244322151,74579632.38699809
4033401.3930931487,107117.85823011398,75227913.87493695
3939227.806397499,94173.58669565618,75813807.936023
3855898.776135488,83329.03026202321,76343651.98541185
3781899.449280366,73999.32685510814,76822769.01635815
3716438.072508983,65461.37677139044,77255241.64099696
3658215.455364563,58222.61714442074,77646022.87094605
3606353.625623076,51861.82974149287,77999005.98392977
3560267.0270437943,46086.59857925773,78317350.72794455
3519367.1341460967,40899.892897725105,78604038.66824314
3482418.826770141,36948.3073759526,78864151.45690404
3449615.5838231305,32803.24294702709,79098130.77265528
3420276.966929229,29338.61689390242,79309252.87030624
3393938.7510054302,26338.215923801064,79499935.5849968
3370266.0097876573,23672.741217762232,79672134.70672359
3349009.811907665,21256.197879999876,79827541.46841338
3330041.122935587,18968.688972070813,79967424.54696244
3313073.967424735,16967.155510872602,80093409.53721908
3297799.513591819,15274.453832924366,80207101.41878144
3284082.676231025,13716.837360784411,80309530.99441576
3271844.6921222755,12237.98410873115,80401485.51498228
3260939.312709048,10905.379413217306,80484044.04753761
