time,algae,rotifers
100.0,0.23,7.83
101.0,0.33,6.02
102.0,0.8,5.82
103.0,0.78,23.28
104.0,0.62,16.86
105.0,0.28,34.72
106.0,0.21,23.68
107.0,0.23,15.25
108.0,0.3,11.84
109.0,0.51,14.25
110.0,0.54,20.67
111.0,0.44,30.5
112.0,0.53,30.3
113.0,0.24,25.89
114.0,0.17,24.08
115.0,0.25,10.03
116.0,0.59,7.63
117.0,0.82,26.49
118.0,0.3,41.94
119.0,0.25,35.92
120.0,0.4,26.89
121.0,0.24,23.28
122.0,0.36,19.26
123.0,1.51,25.69
124.0,0.54,77.06
125.0,0.19,57.19
126.0,0.19,31.91
127.0,0.4,15.25
128.0,0.27,24.08
129.0,0.41,23.48
130.0,0.88,34.52
131.0,0.27,42.54
132.0,0.43,30.5
