Infected,time
9660.0,0
11381.715185262581,1
13181.397358875263,2
15062.567985885764,3
17028.907059339803,4
19084.261170381298,5
21232.65016172395,6
23478.26733182736,7
25825.498463498174,8
28278.932480200736,9
30843.361446057097,10
33523.7846147579,11
36325.43254960091,12
39253.75129100181,13
42314.445753187756,14
45513.48685258676,15
48857.11150782787,16
52351.82263974104,17
56004.399005190244,18
59821.9544787848,19
63811.86165661874,20
67981.84620918336,21
72340.00645107671,22
76894.81334100355,23
81655.11048177525,24
86630.11412031004,25
91829.41314763289,26
97262.9982108804,27
102941.41281116373,28
108875.51621366643,29
115076.68496354208,30
121556.85511418896,31
128328.52222724997,32
135404.741372613,33
142799.1271284105,34
150525.85358101907,35
158599.65432506124,36
167035.82246340247,37
175850.38832421444,38
185060.24872184152,39
194682.70182601112,40
204735.9118164353,41
215238.92898757695,42
226211.68974864975,43
237675.01662361718,44
249650.61825119474,45
262161.0893848475,46
275229.91089279065,47
288881.44975799165,48
303140.9590781681,49
318034.601471975,50
333590.2920931997,51
349836.73421898327,52
366803.6251213396,53
384522.09590131603,54
403024.71148899384,55
422345.470643488,56
442519.8059529468,57
463584.5838345539,58
485578.1045345247,59
508540.1021281105,60
532511.7445195948,61
557535.6334422936,62
583655.8044585603,63
610917.7269597802,64
639369.0296649206,65
669059.8798507878,66
700041.7724500444,67
732368.3549076786,68
766095.4375402355,69
801280.9935358173,70
837985.1589540835,71
876270.2327262504,72
916200.6766550945,73
957843.115414946,74
1.0012663365516899e6,75
1.0465412904827802e6,76
1.0937410904972146e6,77
1.1429410127555472e6,78
1.194218496289909e6,79
1.2476531430039664e6,80
1.303325723944934e6,81
1.36132087710628e6,82
1.4217292667319858e6,83
1.484643753560036e6,84
1.5501593264295927e6,85
1.6183731022810002e6,86
1.6893843261557873e6,87
1.7632943711966535e6,88
1.8402067386474863e6,89
1.9202270578533565e6,90
2.0034630862605006e6,91
2.090024709416357e6,92
2.1800239409695202e6,93
2.273574922669793e6,94
2.3707939243681203e6,95
2.471799344016675e6,96
2.5767117076687696e6,97
2.6856536694789235e6,98
2.798735558731478e6,99
2.916073169560952e6,100
3.037806501845752e6,101
3.164072855782947e6,102
3.2950066815195265e6,103
3.4307395791523997e6,104
3.571400298728388e6,105
3.7171147402442396e6,106
3.86800595364661e6,107
4.0241941388320914e6,108
4.185796645647168e6,109
4.35292797388827e6,110
4.525699773301722e6,111
4.704220843583787e6,112
4.888597134380636e6,113
5.078931745288357e6,114
5.275324925852964e6,115
5.477874075570384e6,116
5.68667374388645e6,117
5.901815630196936e6,118
6.123382184411108e6,119
6.35142711218196e6,120
6.586006275880329e6,121
6.827167268298753e6,122
